"fromName","ethSpent","usdSpent"
"0x8efac00816e675e5b4b418c7c718cd463cbb6a59 (anon)",0.00603703974514869,18.66
"0x8f180fd387cfe63b77bfb09c07995464cf3e7d7f (anon)",0.00394028498294662,12.18
"0x8f4e36370602465acd4afc07204fa311bfbc1198 (anon)",0.00113384,2.93
"0x8fbb54606676ba5f8edc6c4c88ef29b86d58774c (anon)",0.00229093615312252,3.34
"0x905c1a4eb2a84cb864c6909499ba202a03f0aa17 (anon)",0.00467729256122465,14.41
"0x912e817d785ea149b705a5905855411c2cb977ba (anon)",0.00113384,2.93
"0x91a472abe81fb977f36e5253b41b8fd33a2dde28 (anon)",0.00532127028392384,16.39
"0x920eb9085e77ac5ad037bed5e90928ff1e33e885 (anon)",0.00509653115964532,15.75
"0x931e76877118c84f1d904295971ce383ecfed5f4 (anon)",0.0009056634683536,1.8
"0x938e3b0e9e70607c50c2629fa434b9a4e5f28421 (anon)",0.00459898995016499,14.17
"0x9471f3334397514f838675eca6a994d90254e6c1 (anon)",0.00394028498294662,12.18
"0x968277451c46cacd65e7df55f110cade19ff6002 (anon)",0.00113384,2.93
"0x96a7bfd2739c2b5c05c094e6b50ba65e770ab138 (anon)",0.00618037980921623,19.12
"0x96c4803694906bfcbe5c01d8fe5d2ff156f1e7e0 (anon)",0.00113384,2.93
"0x97cdedca258d6e425c200b3ac36b5a33b1699339 (anon)",0.00113384,2.93
"0x987740d5071fba8c8678353020547844a756a99d (anon)",0.00113384,2.93
